# Time-averaged data for fix Re_Primary
Step Lx Ly Lz StrainY StressYY
200 60.3145 130.278 55.7548 5.025e-05 0.0283505
400 60.3145 130.291 55.7548 0.00015025 0.00666678
600 60.3145 130.304 55.7548 0.00025025 0.0400462
800 60.3145 130.317 55.7548 0.00035025 0.0590778
1000 60.3145 130.33 55.7548 0.00045025 0.0419863
1200 60.3145 130.343 55.7548 0.00055025 0.0757647
1400 60.3145 130.356 55.7548 0.00065025 0.080874
1600 60.3145 130.369 55.7548 0.00075025 0.07755
1800 60.3145 130.382 55.7548 0.00085025 0.112091
2000 60.3145 130.395 55.7548 0.00095025 0.114263
2200 60.3145 130.408 55.7548 0.00105025 0.110739
2400 60.3145 130.421 55.7548 0.00115025 0.133246
2600 60.3145 130.434 55.7548 0.00125025 0.104959
2800 60.3145 130.447 55.7548 0.00135025 0.149945
3000 60.3145 130.46 55.7548 0.00145025 0.153977
3200 60.3145 130.473 55.7548 0.00155025 0.176567
3400 60.3145 130.486 55.7548 0.00165025 0.16236
3600 60.3145 130.499 55.7548 0.00175025 0.199861
3800 60.3145 130.512 55.7548 0.00185025 0.186187
4000 60.3145 130.525 55.7548 0.00195025 0.219138
4200 60.3145 130.538 55.7548 0.00205025 0.215819
4400 60.3145 130.551 55.7548 0.00215025 0.233878
4600 60.3145 130.564 55.7548 0.00225025 0.240992
4800 60.3145 130.577 55.7548 0.00235025 0.232652
5000 60.3145 130.59 55.7548 0.00245025 0.253588
5200 60.3145 130.603 55.7548 0.00255025 0.289296
5400 60.3145 130.617 55.7548 0.00265025 0.25812
5600 60.3145 130.63 55.7548 0.00275025 0.297683
5800 60.3145 130.643 55.7548 0.00285025 0.27996
6000 60.3145 130.656 55.7548 0.00295025 0.337224
6200 60.3145 130.669 55.7548 0.00305025 0.300349
6400 60.3145 130.682 55.7548 0.00315025 0.324522
6600 60.3145 130.695 55.7548 0.00325025 0.341211
6800 60.3145 130.708 55.7548 0.00335025 0.362459
7000 60.3145 130.721 55.7548 0.00345025 0.33436
7200 60.3145 130.734 55.7548 0.00355025 0.390403
7400 60.3145 130.747 55.7548 0.00365025 0.350374
7600 60.3145 130.76 55.7548 0.00375025 0.375796
7800 60.3145 130.773 55.7548 0.00385025 0.402146
8000 60.3145 130.786 55.7548 0.00395025 0.419182
8200 60.3145 130.799 55.7548 0.00405025 0.423029
8400 60.3145 130.812 55.7548 0.00415025 0.427192
8600 60.3145 130.825 55.7548 0.00425025 0.44881
8800 60.3145 130.838 55.7548 0.00435025 0.422935
9000 60.3145 130.851 55.7548 0.00445025 0.462685
9200 60.3145 130.864 55.7548 0.00455025 0.477394
9400 60.3145 130.877 55.7548 0.00465025 0.491341
9600 60.3145 130.89 55.7548 0.00475025 0.497534
9800 60.3145 130.903 55.7548 0.00485025 0.503993
10000 60.3145 130.916 55.7548 0.00495025 0.514159
10200 60.3145 130.929 55.7548 0.00505025 0.537629
10400 60.3145 130.942 55.7548 0.00515025 0.524933
10600 60.3145 130.955 55.7548 0.00525025 0.546987
10800 60.3145 130.968 55.7548 0.00535025 0.551583
11000 60.3145 130.981 55.7548 0.00545025 0.584957
11200 60.3145 130.994 55.7548 0.00555025 0.591702
11400 60.3145 131.007 55.7548 0.00565025 0.574285
11600 60.3145 131.02 55.7548 0.00575025 0.608247
11800 60.3145 131.033 55.7548 0.00585025 0.610782
12000 60.3145 131.046 55.7548 0.00595025 0.619975
12200 60.3145 131.059 55.7548 0.00605025 0.645528
12400 60.3145 131.072 55.7548 0.00615025 0.620388
12600 60.3145 131.085 55.7548 0.00625025 0.664647
12800 60.3145 131.099 55.7548 0.00635025 0.671811
13000 60.3145 131.112 55.7548 0.00645025 0.684461
13200 60.3145 131.125 55.7548 0.00655025 0.672797
13400 60.3145 131.138 55.7548 0.00665025 0.704432
13600 60.3145 131.151 55.7548 0.00675025 0.705513
13800 60.3145 131.164 55.7548 0.00685025 0.716217
14000 60.3145 131.177 55.7548 0.00695025 0.729846
14200 60.3145 131.19 55.7548 0.00705025 0.73793
14400 60.3145 131.203 55.7548 0.00715025 0.746776
14600 60.3145 131.216 55.7548 0.00725025 0.784056
14800 60.3145 131.229 55.7548 0.00735025 0.742364
15000 60.3145 131.242 55.7548 0.00745025 0.817198
15200 60.3145 131.255 55.7548 0.00755025 0.788922
15400 60.3145 131.268 55.7548 0.00765025 0.797912
15600 60.3145 131.281 55.7548 0.00775025 0.826103
15800 60.3145 131.294 55.7548 0.00785025 0.794149
16000 60.3145 131.307 55.7548 0.00795025 0.831774
