# Time-averaged data for fix Re_Primary
Step Lx Ly Lz StrainY StressYY
200 60.2689 130.219 55.7864 5.025e-05 0.0890012
400 60.2689 130.232 55.7864 0.00015025 0.094827
600 60.2689 130.245 55.7864 0.00025025 0.0613409
800 60.2689 130.258 55.7864 0.00035025 0.0952976
1000 60.2689 130.271 55.7864 0.00045025 0.0954321
1200 60.2689 130.284 55.7864 0.00055025 0.135843
1400 60.2689 130.297 55.7864 0.00065025 0.122624
1600 60.2689 130.31 55.7864 0.00075025 0.137836
1800 60.2689 130.323 55.7864 0.00085025 0.161016
2000 60.2689 130.336 55.7864 0.00095025 0.13742
2200 60.2689 130.349 55.7864 0.00105025 0.176037
2400 60.2689 130.362 55.7864 0.00115025 0.170778
2600 60.2689 130.375 55.7864 0.00125025 0.187163
2800 60.2689 130.388 55.7864 0.00135025 0.191298
3000 60.2689 130.401 55.7864 0.00145025 0.228317
3200 60.2689 130.414 55.7864 0.00155025 0.227196
3400 60.2689 130.427 55.7864 0.00165025 0.246311
3600 60.2689 130.44 55.7864 0.00175025 0.225731
3800 60.2689 130.453 55.7864 0.00185025 0.259265
4000 60.2689 130.466 55.7864 0.00195025 0.283259
4200 60.2689 130.479 55.7864 0.00205025 0.258971
4400 60.2689 130.492 55.7864 0.00215025 0.290078
4600 60.2689 130.505 55.7864 0.00225025 0.305412
4800 60.2689 130.518 55.7864 0.00235025 0.312105
5000 60.2689 130.531 55.7864 0.00245025 0.291876
5200 60.2689 130.544 55.7864 0.00255025 0.318216
5400 60.2689 130.557 55.7864 0.00265025 0.339082
5600 60.2689 130.57 55.7864 0.00275025 0.343484
5800 60.2689 130.583 55.7864 0.00285025 0.3528
6000 60.2689 130.596 55.7864 0.00295025 0.374136
6200 60.2689 130.609 55.7864 0.00305025 0.36942
6400 60.2689 130.622 55.7864 0.00315025 0.399747
6600 60.2689 130.636 55.7864 0.00325025 0.381761
6800 60.2689 130.649 55.7864 0.00335025 0.398874
7000 60.2689 130.662 55.7864 0.00345025 0.431001
7200 60.2689 130.675 55.7864 0.00355025 0.42741
7400 60.2689 130.688 55.7864 0.00365025 0.441084
7600 60.2689 130.701 55.7864 0.00375025 0.446646
7800 60.2689 130.714 55.7864 0.00385025 0.446057
8000 60.2689 130.727 55.7864 0.00395025 0.466324
8200 60.2689 130.74 55.7864 0.00405025 0.48369
8400 60.2689 130.753 55.7864 0.00415025 0.485847
8600 60.2689 130.766 55.7864 0.00425025 0.510358
8800 60.2689 130.779 55.7864 0.00435025 0.506246
9000 60.2689 130.792 55.7864 0.00445025 0.544238
9200 60.2689 130.805 55.7864 0.00455025 0.536154
9400 60.2689 130.818 55.7864 0.00465025 0.518733
9600 60.2689 130.831 55.7864 0.00475025 0.57257
9800 60.2689 130.844 55.7864 0.00485025 0.557896
10000 60.2689 130.857 55.7864 0.00495025 0.56425
10200 60.2689 130.87 55.7864 0.00505025 0.579486
10400 60.2689 130.883 55.7864 0.00515025 0.600351
10600 60.2689 130.896 55.7864 0.00525025 0.616901
10800 60.2689 130.909 55.7864 0.00535025 0.615393
