# Time-averaged data for fix Re_Primary
Step Lx Ly Lz StrainY StressYY
200 60.2096 130.245 55.7714 5.025e-05 -0.0309131
400 60.2096 130.258 55.7714 0.00015025 -0.0391499
600 60.2096 130.271 55.7714 0.00025025 -0.0157012
800 60.2096 130.284 55.7714 0.00035025 -0.0267313
1000 60.2096 130.297 55.7714 0.00045025 0.00338654
1200 60.2096 130.31 55.7714 0.00055025 0.0184108
1400 60.2096 130.323 55.7714 0.00065025 0.0020956
1600 60.2096 130.336 55.7714 0.00075025 0.0428614
1800 60.2096 130.349 55.7714 0.00085025 0.0293546
2000 60.2096 130.362 55.7714 0.00095025 0.0467461
2200 60.2096 130.375 55.7714 0.00105025 0.0565682
2400 60.2096 130.388 55.7714 0.00115025 0.0936568
2600 60.2096 130.401 55.7714 0.00125025 0.0652927
2800 60.2096 130.414 55.7714 0.00135025 0.102039
3000 60.2096 130.427 55.7714 0.00145025 0.0934332
3200 60.2096 130.44 55.7714 0.00155025 0.126016
3400 60.2096 130.453 55.7714 0.00165025 0.104192
3600 60.2096 130.466 55.7714 0.00175025 0.135764
3800 60.2096 130.479 55.7714 0.00185025 0.142992
4000 60.2096 130.492 55.7714 0.00195025 0.142525
4200 60.2096 130.505 55.7714 0.00205025 0.167307
4400 60.2096 130.518 55.7714 0.00215025 0.162189
4600 60.2096 130.531 55.7714 0.00225025 0.178391
4800 60.2096 130.544 55.7714 0.00235025 0.186565
5000 60.2096 130.557 55.7714 0.00245025 0.199522
5200 60.2096 130.57 55.7714 0.00255025 0.222071
5400 60.2096 130.583 55.7714 0.00265025 0.214784
5600 60.2096 130.597 55.7714 0.00275025 0.264901
5800 60.2096 130.61 55.7714 0.00285025 0.223792
6000 60.2096 130.623 55.7714 0.00295025 0.246308
6200 60.2096 130.636 55.7714 0.00305025 0.27834
6400 60.2096 130.649 55.7714 0.00315025 0.254609
6600 60.2096 130.662 55.7714 0.00325025 0.290946
6800 60.2096 130.675 55.7714 0.00335025 0.284815
7000 60.2096 130.688 55.7714 0.00345025 0.314567
7200 60.2096 130.701 55.7714 0.00355025 0.298228
7400 60.2096 130.714 55.7714 0.00365025 0.325708
7600 60.2096 130.727 55.7714 0.00375025 0.338428
7800 60.2096 130.74 55.7714 0.00385025 0.34985
8000 60.2096 130.753 55.7714 0.00395025 0.35696
8200 60.2096 130.766 55.7714 0.00405025 0.365112
8400 60.2096 130.779 55.7714 0.00415025 0.386954
8600 60.2096 130.792 55.7714 0.00425025 0.383691
8800 60.2096 130.805 55.7714 0.00435025 0.396003
9000 60.2096 130.818 55.7714 0.00445025 0.39262
9200 60.2096 130.831 55.7714 0.00455025 0.415991
9400 60.2096 130.844 55.7714 0.00465025 0.44403
9600 60.2096 130.857 55.7714 0.00475025 0.42403
9800 60.2096 130.87 55.7714 0.00485025 0.451431
10000 60.2096 130.883 55.7714 0.00495025 0.466504
10200 60.2096 130.896 55.7714 0.00505025 0.47416
10400 60.2096 130.909 55.7714 0.00515025 0.474124
10600 60.2096 130.922 55.7714 0.00525025 0.495825
10800 60.2096 130.935 55.7714 0.00535025 0.504211
11000 60.2096 130.948 55.7714 0.00545025 0.536003
11200 60.2096 130.961 55.7714 0.00555025 0.514229
11400 60.2096 130.974 55.7714 0.00565025 0.514471
11600 60.2096 130.987 55.7714 0.00575025 0.555599
11800 60.2096 131 55.7714 0.00585025 0.58485
12000 60.2096 131.013 55.7714 0.00595025 0.550289
12200 60.2096 131.026 55.7714 0.00605025 0.569364
12400 60.2096 131.039 55.7714 0.00615025 0.591404
12600 60.2096 131.052 55.7714 0.00625025 0.581909
12800 60.2096 131.065 55.7714 0.00635025 0.617605
13000 60.2096 131.078 55.7714 0.00645025 0.623332
13200 60.2096 131.091 55.7714 0.00655025 0.632385
13400 60.2096 131.104 55.7714 0.00665025 0.63719
13600 60.2096 131.117 55.7714 0.00675025 0.651586
13800 60.2096 131.13 55.7714 0.00685025 0.654953
14000 60.2096 131.144 55.7714 0.00695025 0.681459
14200 60.2096 131.157 55.7714 0.00705025 0.67137
14400 60.2096 131.17 55.7714 0.00715025 0.694519
14600 60.2096 131.183 55.7714 0.00725025 0.69502
14800 60.2096 131.196 55.7714 0.00735025 0.701728
15000 60.2096 131.209 55.7714 0.00745025 0.764129
15200 60.2096 131.222 55.7714 0.00755025 0.699736
15400 60.2096 131.235 55.7714 0.00765025 0.762988
15600 60.2096 131.248 55.7714 0.00775025 0.755326
15800 60.2096 131.261 55.7714 0.00785025 0.773008
16000 60.2096 131.274 55.7714 0.00795025 0.778653
16200 60.2096 131.287 55.7714 0.00805025 0.788565
16400 60.2096 131.3 55.7714 0.00815025 0.800944
16600 60.2096 131.313 55.7714 0.00825025 0.810643
16800 60.2096 131.326 55.7714 0.00835025 0.835116
17000 60.2096 131.339 55.7714 0.00845025 0.814335
17200 60.2096 131.352 55.7714 0.00855025 0.849392
17400 60.2096 131.365 55.7714 0.00865025 0.847125
17600 60.2096 131.378 55.7714 0.00875025 0.866757
17800 60.2096 131.391 55.7714 0.00885025 0.874433
18000 60.2096 131.404 55.7714 0.00895025 0.884624
18200 60.2096 131.417 55.7714 0.00905025 0.900133
18400 60.2096 131.43 55.7714 0.00915025 0.919733
18600 60.2096 131.443 55.7714 0.00925025 0.903783
18800 60.2096 131.456 55.7714 0.00935025 0.942185
19000 60.2096 131.469 55.7714 0.00945025 0.913604
19200 60.2096 131.482 55.7714 0.00955025 0.953217
19400 60.2096 131.495 55.7714 0.00965025 0.95698
19600 60.2096 131.508 55.7714 0.00975025 0.956666
19800 60.2096 131.521 55.7714 0.00985025 1.00673
20000 60.2096 131.534 55.7714 0.00995025 0.969512
20200 60.2096 131.547 55.7714 0.0100502 1.01878
20400 60.2096 131.56 55.7714 0.0101502 1.00319
20600 60.2096 131.573 55.7714 0.0102502 1.02424
20800 60.2096 131.586 55.7714 0.0103502 1.00936
21000 60.2096 131.599 55.7714 0.0104502 1.06245
21200 60.2096 131.612 55.7714 0.0105502 1.05108
21400 60.2096 131.625 55.7714 0.0106502 1.06222
21600 60.2096 131.638 55.7714 0.0107502 1.05361
21800 60.2096 131.651 55.7714 0.0108502 1.10457
22000 60.2096 131.664 55.7714 0.0109502 1.0985
22200 60.2096 131.678 55.7714 0.0110502 1.10962
22400 60.2096 131.691 55.7714 0.0111502 1.11322
22600 60.2096 131.704 55.7714 0.0112502 1.14979
22800 60.2096 131.717 55.7714 0.0113502 1.1322
23000 60.2096 131.73 55.7714 0.0114502 1.16256
23200 60.2096 131.743 55.7714 0.0115502 1.15147
23400 60.2096 131.756 55.7714 0.0116502 1.1776
23600 60.2096 131.769 55.7714 0.0117502 1.18397
23800 60.2096 131.782 55.7714 0.0118502 1.19071
24000 60.2096 131.795 55.7714 0.0119502 1.20249
24200 60.2096 131.808 55.7714 0.0120502 1.24084
24400 60.2096 131.821 55.7714 0.0121502 1.21409
24600 60.2096 131.834 55.7714 0.0122502 1.24062
24800 60.2096 131.847 55.7714 0.0123502 1.25544
25000 60.2096 131.86 55.7714 0.0124502 1.28629
25200 60.2096 131.873 55.7714 0.0125502 1.25811
25400 60.2096 131.886 55.7714 0.0126502 1.28955
25600 60.2096 131.899 55.7714 0.0127502 1.27629
25800 60.2096 131.912 55.7714 0.0128502 1.32995
26000 60.2096 131.925 55.7714 0.0129502 1.30133
26200 60.2096 131.938 55.7714 0.0130502 1.32792
26400 60.2096 131.951 55.7714 0.0131502 1.33956
26600 60.2096 131.964 55.7714 0.0132502 1.33805
26800 60.2096 131.977 55.7714 0.0133502 1.36599
27000 60.2096 131.99 55.7714 0.0134502 1.36896
27200 60.2096 132.003 55.7714 0.0135502 1.38725
27400 60.2096 132.016 55.7714 0.0136502 1.38383
27600 60.2096 132.029 55.7714 0.0137502 1.39582
27800 60.2096 132.042 55.7714 0.0138502 1.43316
28000 60.2096 132.055 55.7714 0.0139502 1.41673
28200 60.2096 132.068 55.7714 0.0140502 1.43824
28400 60.2096 132.081 55.7714 0.0141502 1.45924
28600 60.2096 132.094 55.7714 0.0142502 1.4475
28800 60.2096 132.107 55.7714 0.0143502 1.47782
29000 60.2096 132.12 55.7714 0.0144502 1.47281
29200 60.2096 132.133 55.7714 0.0145502 1.47834
29400 60.2096 132.146 55.7714 0.0146502 1.51849
29600 60.2096 132.159 55.7714 0.0147502 1.5255
29800 60.2096 132.172 55.7714 0.0148502 1.51049
30000 60.2096 132.185 55.7714 0.0149502 1.53455
30200 60.2096 132.198 55.7714 0.0150502 1.53137
30400 60.2096 132.211 55.7714 0.0151502 1.581
30600 60.2096 132.225 55.7714 0.0152502 1.5752
30800 60.2096 132.238 55.7714 0.0153502 1.55502
31000 60.2096 132.251 55.7714 0.0154502 1.60351
31200 60.2096 132.264 55.7714 0.0155502 1.60515
31400 60.2096 132.277 55.7714 0.0156502 1.59941
31600 60.2096 132.29 55.7714 0.0157502 1.62455
31800 60.2096 132.303 55.7714 0.0158502 1.63442
32000 60.2096 132.316 55.7714 0.0159502 1.6728
32200 60.2096 132.329 55.7714 0.0160502 1.64133
32400 60.2096 132.342 55.7714 0.0161502 1.69019
32600 60.2096 132.355 55.7714 0.0162502 1.66396
32800 60.2096 132.368 55.7714 0.0163502 1.68926
33000 60.2096 132.381 55.7714 0.0164502 1.68942
33200 60.2096 132.394 55.7714 0.0165502 1.72833
33400 60.2096 132.407 55.7714 0.0166502 1.70279
33600 60.2096 132.42 55.7714 0.0167502 1.76153
33800 60.2096 132.433 55.7714 0.0168502 1.74618
34000 60.2096 132.446 55.7714 0.0169502 1.72751
34200 60.2096 132.459 55.7714 0.0170502 1.79181
34400 60.2096 132.472 55.7714 0.0171502 1.78868
34600 60.2096 132.485 55.7714 0.0172502 1.77303
34800 60.2096 132.498 55.7714 0.0173502 1.8157
35000 60.2096 132.511 55.7714 0.0174502 1.81866
35200 60.2096 132.524 55.7714 0.0175502 1.79896
35400 60.2096 132.537 55.7714 0.0176502 1.8535
35600 60.2096 132.55 55.7714 0.0177502 1.84925
35800 60.2096 132.563 55.7714 0.0178502 1.86315
36000 60.2096 132.576 55.7714 0.0179502 1.85405
36200 60.2096 132.589 55.7714 0.0180502 1.88803
36400 60.2096 132.602 55.7714 0.0181502 1.89747
36600 60.2096 132.615 55.7714 0.0182502 1.89267
36800 60.2096 132.628 55.7714 0.0183502 1.92802
37000 60.2096 132.641 55.7714 0.0184502 1.94121
37200 60.2096 132.654 55.7714 0.0185502 1.92947
37400 60.2096 132.667 55.7714 0.0186502 1.92861
37600 60.2096 132.68 55.7714 0.0187502 1.96607
37800 60.2096 132.693 55.7714 0.0188502 1.96888
38000 60.2096 132.706 55.7714 0.0189502 1.98458
38200 60.2096 132.719 55.7714 0.0190502 2.00463
38400 60.2096 132.732 55.7714 0.0191502 1.99942
38600 60.2096 132.745 55.7714 0.0192502 2.01769
38800 60.2096 132.758 55.7714 0.0193502 2.02194
39000 60.2096 132.772 55.7714 0.0194502 2.04427
39200 60.2096 132.785 55.7714 0.0195502 2.0516
39400 60.2096 132.798 55.7714 0.0196502 2.05894
39600 60.2096 132.811 55.7714 0.0197502 2.06426
39800 60.2096 132.824 55.7714 0.0198502 2.10021
40000 60.2096 132.837 55.7714 0.0199502 2.10735
40200 60.2096 132.85 55.7714 0.0200502 2.1094
40400 60.2096 132.863 55.7714 0.0201502 2.12808
40600 60.2096 132.876 55.7714 0.0202502 2.11183
40800 60.2096 132.889 55.7714 0.0203502 2.14143
41000 60.2096 132.902 55.7714 0.0204502 2.14317
41200 60.2096 132.915 55.7714 0.0205502 2.16538
41400 60.2096 132.928 55.7714 0.0206502 2.1895
41600 60.2096 132.941 55.7714 0.0207502 2.18332
41800 60.2096 132.954 55.7714 0.0208502 2.19278
42000 60.2096 132.967 55.7714 0.0209502 2.20676
42200 60.2096 132.98 55.7714 0.0210502 2.21123
42400 60.2096 132.993 55.7714 0.0211502 2.22184
42600 60.2096 133.006 55.7714 0.0212502 2.2447
42800 60.2096 133.019 55.7714 0.0213502 2.25281
43000 60.2096 133.032 55.7714 0.0214502 2.25918
43200 60.2096 133.045 55.7714 0.0215502 2.278
43400 60.2096 133.058 55.7714 0.0216502 2.28468
43600 60.2096 133.071 55.7714 0.0217502 2.32072
43800 60.2096 133.084 55.7714 0.0218502 2.28871
44000 60.2096 133.097 55.7714 0.0219502 2.3155
44200 60.2096 133.11 55.7714 0.0220502 2.32907
44400 60.2096 133.123 55.7714 0.0221502 2.37052
44600 60.2096 133.136 55.7714 0.0222502 2.31339
44800 60.2096 133.149 55.7714 0.0223502 2.3764
45000 60.2096 133.162 55.7714 0.0224502 2.38646
45200 60.2096 133.175 55.7714 0.0225502 2.39211
45400 60.2096 133.188 55.7714 0.0226502 2.39075
45600 60.2096 133.201 55.7714 0.0227502 2.41565
45800 60.2096 133.214 55.7714 0.0228502 2.42483
46000 60.2096 133.227 55.7714 0.0229502 2.4516
46200 60.2096 133.24 55.7714 0.0230502 2.42564
46400 60.2096 133.253 55.7714 0.0231502 2.46799
46600 60.2096 133.266 55.7714 0.0232502 2.45983
46800 60.2096 133.279 55.7714 0.0233502 2.4958
47000 60.2096 133.292 55.7714 0.0234502 2.47766
47200 60.2096 133.305 55.7714 0.0235502 2.5138
47400 60.2096 133.319 55.7714 0.0236502 2.51771
47600 60.2096 133.332 55.7714 0.0237502 2.52442
47800 60.2096 133.345 55.7714 0.0238502 2.55193
48000 60.2096 133.358 55.7714 0.0239502 2.54982
48200 60.2096 133.371 55.7714 0.0240502 2.56322
48400 60.2096 133.384 55.7714 0.0241502 2.58026
48600 60.2096 133.397 55.7714 0.0242502 2.56519
48800 60.2096 133.41 55.7714 0.0243502 2.61341
49000 60.2096 133.423 55.7714 0.0244502 2.61016
49200 60.2096 133.436 55.7714 0.0245502 2.61456
49400 60.2096 133.449 55.7714 0.0246502 2.62074
49600 60.2096 133.462 55.7714 0.0247502 2.64945
49800 60.2096 133.475 55.7714 0.0248502 2.65473
50000 60.2096 133.488 55.7714 0.0249502 2.65859
50200 60.2096 133.501 55.7714 0.0250502 2.68009
50400 60.2096 133.514 55.7714 0.0251502 2.66604
50600 60.2096 133.527 55.7714 0.0252502 2.70475
50800 60.2096 133.54 55.7714 0.0253502 2.71902
51000 60.2096 133.553 55.7714 0.0254502 2.71592
51200 60.2096 133.566 55.7714 0.0255502 2.72368
51400 60.2096 133.579 55.7714 0.0256502 2.75213
51600 60.2096 133.592 55.7714 0.0257502 2.75466
51800 60.2096 133.605 55.7714 0.0258502 2.77783
52000 60.2096 133.618 55.7714 0.0259502 2.77739
52200 60.2096 133.631 55.7714 0.0260502 2.78994
52400 60.2096 133.644 55.7714 0.0261502 2.79571
52600 60.2096 133.657 55.7714 0.0262502 2.80512
52800 60.2096 133.67 55.7714 0.0263502 2.84141
53000 60.2096 133.683 55.7714 0.0264502 2.83289
53200 60.2096 133.696 55.7714 0.0265502 2.8347
53400 60.2096 133.709 55.7714 0.0266502 2.88655
53600 60.2096 133.722 55.7714 0.0267502 2.87298
53800 60.2096 133.735 55.7714 0.0268502 2.88984
54000 60.2096 133.748 55.7714 0.0269502 2.90357
54200 60.2096 133.761 55.7714 0.0270502 2.89843
54400 60.2096 133.774 55.7714 0.0271502 2.93529
54600 60.2096 133.787 55.7714 0.0272502 2.92752
54800 60.2096 133.8 55.7714 0.0273502 2.93363
55000 60.2096 133.813 55.7714 0.0274502 2.96394
55200 60.2096 133.826 55.7714 0.0275502 2.95918
55400 60.2096 133.839 55.7714 0.0276502 2.9655
55600 60.2096 133.852 55.7714 0.0277502 2.99604
55800 60.2096 133.866 55.7714 0.0278502 2.99707
56000 60.2096 133.879 55.7714 0.0279502 3.00943
56200 60.2096 133.892 55.7714 0.0280502 3.02372
56400 60.2096 133.905 55.7714 0.0281502 3.0357
56600 60.2096 133.918 55.7714 0.0282502 3.04366
56800 60.2096 133.931 55.7714 0.0283502 3.03878
57000 60.2096 133.944 55.7714 0.0284502 3.0895
57200 60.2096 133.957 55.7714 0.0285502 3.0839
57400 60.2096 133.97 55.7714 0.0286502 3.09598
57600 60.2096 133.983 55.7714 0.0287502 3.09176
57800 60.2096 133.996 55.7714 0.0288502 3.13224
58000 60.2096 134.009 55.7714 0.0289502 3.13241
58200 60.2096 134.022 55.7714 0.0290502 3.14342
58400 60.2096 134.035 55.7714 0.0291502 3.15111
58600 60.2096 134.048 55.7714 0.0292502 3.154
58800 60.2096 134.061 55.7714 0.0293502 3.18326
59000 60.2096 134.074 55.7714 0.0294502 3.18691
59200 60.2096 134.087 55.7714 0.0295502 3.18977
59400 60.2096 134.1 55.7714 0.0296502 3.2341
59600 60.2096 134.113 55.7714 0.0297502 3.20208
59800 60.2096 134.126 55.7714 0.0298502 3.22058
60000 60.2096 134.139 55.7714 0.0299502 3.25126
60200 60.2096 134.152 55.7714 0.0300502 3.26029
60400 60.2096 134.165 55.7714 0.0301502 3.27554
60600 60.2096 134.178 55.7714 0.0302502 3.26743
60800 60.2096 134.191 55.7714 0.0303502 3.29336
61000 60.2096 134.204 55.7714 0.0304502 3.30214
61200 60.2096 134.217 55.7714 0.0305502 3.31439
61400 60.2096 134.23 55.7714 0.0306502 3.32414
61600 60.2096 134.243 55.7714 0.0307502 3.35169
61800 60.2096 134.256 55.7714 0.0308502 3.33449
62000 60.2096 134.269 55.7714 0.0309502 3.36325
62200 60.2096 134.282 55.7714 0.0310502 3.36477
62400 60.2096 134.295 55.7714 0.0311502 3.38012
62600 60.2096 134.308 55.7714 0.0312502 3.39727
62800 60.2096 134.321 55.7714 0.0313502 3.42645
63000 60.2096 134.334 55.7714 0.0314502 3.38637
63200 60.2096 134.347 55.7714 0.0315502 3.44594
63400 60.2096 134.36 55.7714 0.0316502 3.43836
63600 60.2096 134.373 55.7714 0.0317502 3.4676
63800 60.2096 134.386 55.7714 0.0318502 3.47001
64000 60.2096 134.399 55.7714 0.0319502 3.47841
64200 60.2096 134.413 55.7714 0.0320502 3.51043
64400 60.2096 134.426 55.7714 0.0321502 3.49364
64600 60.2096 134.439 55.7714 0.0322502 3.51097
64800 60.2096 134.452 55.7714 0.0323502 3.54
65000 60.2096 134.465 55.7714 0.0324502 3.53641
65200 60.2096 134.478 55.7714 0.0325502 3.53911
65400 60.2096 134.491 55.7714 0.0326502 3.57569
65600 60.2096 134.504 55.7714 0.0327502 3.56997
65800 60.2096 134.517 55.7714 0.0328502 3.57566
66000 60.2096 134.53 55.7714 0.0329502 3.59154
66200 60.2096 134.543 55.7714 0.0330502 3.61967
66400 60.2096 134.556 55.7714 0.0331502 3.62478
66600 60.2096 134.569 55.7714 0.0332502 3.62005
66800 60.2096 134.582 55.7714 0.0333502 3.65553
67000 60.2096 134.595 55.7714 0.0334502 3.67312
67200 60.2096 134.608 55.7714 0.0335502 3.66539
67400 60.2096 134.621 55.7714 0.0336502 3.68878
67600 60.2096 134.634 55.7714 0.0337502 3.68767
67800 60.2096 134.647 55.7714 0.0338502 3.70193
68000 60.2096 134.66 55.7714 0.0339502 3.72672
68200 60.2096 134.673 55.7714 0.0340502 3.73784
68400 60.2096 134.686 55.7714 0.0341502 3.72928
68600 60.2096 134.699 55.7714 0.0342502 3.74589
68800 60.2096 134.712 55.7714 0.0343502 3.74909
69000 60.2096 134.725 55.7714 0.0344502 3.77696
69200 60.2096 134.738 55.7714 0.0345502 3.792
69400 60.2096 134.751 55.7714 0.0346502 3.76502
69600 60.2096 134.764 55.7714 0.0347502 3.82392
69800 60.2096 134.777 55.7714 0.0348502 3.82215
70000 60.2096 134.79 55.7714 0.0349502 3.81846
70200 60.2096 134.803 55.7714 0.0350502 3.84866
70400 60.2096 134.816 55.7714 0.0351502 3.86871
70600 60.2096 134.829 55.7714 0.0352502 3.84996
70800 60.2096 134.842 55.7714 0.0353502 3.89263
71000 60.2096 134.855 55.7714 0.0354502 3.89279
71200 60.2096 134.868 55.7714 0.0355502 3.89087
71400 60.2096 134.881 55.7714 0.0356502 3.91755
71600 60.2096 134.894 55.7714 0.0357502 3.91567
71800 60.2096 134.907 55.7714 0.0358502 3.92503
72000 60.2096 134.92 55.7714 0.0359502 3.95043
72200 60.2096 134.933 55.7714 0.0360502 3.97283
72400 60.2096 134.946 55.7714 0.0361502 3.95103
72600 60.2096 134.96 55.7714 0.0362502 3.99249
72800 60.2096 134.973 55.7714 0.0363502 4.00154
73000 60.2096 134.986 55.7714 0.0364502 3.99967
73200 60.2096 134.999 55.7714 0.0365502 4.0179
73400 60.2096 135.012 55.7714 0.0366502 4.034
73600 60.2096 135.025 55.7714 0.0367502 4.05568
73800 60.2096 135.038 55.7714 0.0368502 4.05425
74000 60.2096 135.051 55.7714 0.0369502 4.07525
74200 60.2096 135.064 55.7714 0.0370502 4.0723
74400 60.2096 135.077 55.7714 0.0371502 4.10496
74600 60.2096 135.09 55.7714 0.0372502 4.10384
74800 60.2096 135.103 55.7714 0.0373502 4.11078
75000 60.2096 135.116 55.7714 0.0374502 4.14342
75200 60.2096 135.129 55.7714 0.0375502 4.1177
75400 60.2096 135.142 55.7714 0.0376502 4.18439
75600 60.2096 135.155 55.7714 0.0377502 4.16177
75800 60.2096 135.168 55.7714 0.0378502 4.17995
76000 60.2096 135.181 55.7714 0.0379502 4.18616
76200 60.2096 135.194 55.7714 0.0380502 4.19964
76400 60.2096 135.207 55.7714 0.0381502 4.24771
76600 60.2096 135.22 55.7714 0.0382502 4.21444
76800 60.2096 135.233 55.7714 0.0383502 4.24656
77000 60.2096 135.246 55.7714 0.0384502 4.25814
77200 60.2096 135.259 55.7714 0.0385502 4.25182
77400 60.2096 135.272 55.7714 0.0386502 4.28499
77600 60.2096 135.285 55.7714 0.0387502 4.31651
77800 60.2096 135.298 55.7714 0.0388502 4.26383
78000 60.2096 135.311 55.7714 0.0389502 4.32438
78200 60.2096 135.324 55.7714 0.0390502 4.31765
78400 60.2096 135.337 55.7714 0.0391502 4.33551
78600 60.2096 135.35 55.7714 0.0392502 4.34518
78800 60.2096 135.363 55.7714 0.0393502 4.36693
79000 60.2096 135.376 55.7714 0.0394502 4.37532
79200 60.2096 135.389 55.7714 0.0395502 4.37874
79400 60.2096 135.402 55.7714 0.0396502 4.38021
79600 60.2096 135.415 55.7714 0.0397502 4.41831
79800 60.2096 135.428 55.7714 0.0398502 4.41144
80000 60.2096 135.441 55.7714 0.0399502 4.43543
80200 60.2096 135.454 55.7714 0.0400502 4.43422
80400 60.2096 135.467 55.7714 0.0401502 4.45676
80600 60.2096 135.48 55.7714 0.0402502 4.46559
80800 60.2096 135.493 55.7714 0.0403502 4.46677
81000 60.2096 135.507 55.7714 0.0404502 4.51413
81200 60.2096 135.52 55.7714 0.0405502 4.49534
81400 60.2096 135.533 55.7714 0.0406502 4.50585
81600 60.2096 135.546 55.7714 0.0407502 4.5236
81800 60.2096 135.559 55.7714 0.0408502 4.5654
82000 60.2096 135.572 55.7714 0.0409502 4.56687
82200 60.2096 135.585 55.7714 0.0410502 4.54664
82400 60.2096 135.598 55.7714 0.0411502 4.57489
82600 60.2096 135.611 55.7714 0.0412502 4.59639
82800 60.2096 135.624 55.7714 0.0413502 4.597
83000 60.2096 135.637 55.7714 0.0414502 4.60778
83200 60.2096 135.65 55.7714 0.0415502 4.62599
83400 60.2096 135.663 55.7714 0.0416502 4.64462
83600 60.2096 135.676 55.7714 0.0417502 4.65577
83800 60.2096 135.689 55.7714 0.0418502 4.66182
84000 60.2096 135.702 55.7714 0.0419502 4.6775
84200 60.2096 135.715 55.7714 0.0420502 4.69073
84400 60.2096 135.728 55.7714 0.0421502 4.69897
84600 60.2096 135.741 55.7714 0.0422502 4.71521
84800 60.2096 135.754 55.7714 0.0423502 4.72055
85000 60.2096 135.767 55.7714 0.0424502 4.74617
85200 60.2096 135.78 55.7714 0.0425502 4.74655
85400 60.2096 135.793 55.7714 0.0426502 4.76406
85600 60.2096 135.806 55.7714 0.0427502 4.78393
85800 60.2096 135.819 55.7714 0.0428502 4.77659
86000 60.2096 135.832 55.7714 0.0429502 4.80549
86200 60.2096 135.845 55.7714 0.0430502 4.81528
86400 60.2096 135.858 55.7714 0.0431502 4.81727
86600 60.2096 135.871 55.7714 0.0432502 4.85019
86800 60.2096 135.884 55.7714 0.0433502 4.83903
87000 60.2096 135.897 55.7714 0.0434502 4.8599
87200 60.2096 135.91 55.7714 0.0435502 4.87656
