# Time-averaged data for fix Re_Primary
Step Lx Ly Lz StrainY StressYY
200 60.2424 130.147 55.7198 5.025e-05 -0.00605035
400 60.2424 130.16 55.7198 0.00015025 0.0410228
600 60.2424 130.173 55.7198 0.00025025 0.0554697
800 60.2424 130.186 55.7198 0.00035025 0.0610846
1000 60.2424 130.199 55.7198 0.00045025 0.0383542
1200 60.2424 130.212 55.7198 0.00055025 0.0905195
1400 60.2424 130.225 55.7198 0.00065025 0.0906197
1600 60.2424 130.238 55.7198 0.00075025 0.0919823
1800 60.2424 130.251 55.7198 0.00085025 0.106351
2000 60.2424 130.264 55.7198 0.00095025 0.120698
2200 60.2424 130.277 55.7198 0.00105025 0.0736163
2400 60.2424 130.29 55.7198 0.00115025 0.165869
2600 60.2424 130.303 55.7198 0.00125025 0.128518
2800 60.2424 130.316 55.7198 0.00135025 0.144699
3000 60.2424 130.329 55.7198 0.00145025 0.187042
3200 60.2424 130.342 55.7198 0.00155025 0.1531
3400 60.2424 130.355 55.7198 0.00165025 0.184043
3600 60.2424 130.368 55.7198 0.00175025 0.18135
3800 60.2424 130.381 55.7198 0.00185025 0.215628
4000 60.2424 130.394 55.7198 0.00195025 0.198223
4200 60.2424 130.407 55.7198 0.00205025 0.21894
4400 60.2424 130.42 55.7198 0.00215025 0.223718
4600 60.2424 130.433 55.7198 0.00225025 0.270154
4800 60.2424 130.446 55.7198 0.00235025 0.249802
5000 60.2424 130.459 55.7198 0.00245025 0.242063
5200 60.2424 130.472 55.7198 0.00255025 0.282127
5400 60.2424 130.485 55.7198 0.00265025 0.297089
5600 60.2424 130.498 55.7198 0.00275025 0.293944
5800 60.2424 130.511 55.7198 0.00285025 0.306869
6000 60.2424 130.524 55.7198 0.00295025 0.316554
6200 60.2424 130.537 55.7198 0.00305025 0.328196
6400 60.2424 130.55 55.7198 0.00315025 0.334028
6600 60.2424 130.563 55.7198 0.00325025 0.362892
6800 60.2424 130.576 55.7198 0.00335025 0.362963
7000 60.2424 130.59 55.7198 0.00345025 0.357095
7200 60.2424 130.603 55.7198 0.00355025 0.379105
7400 60.2424 130.616 55.7198 0.00365025 0.403804
7600 60.2424 130.629 55.7198 0.00375025 0.411154
7800 60.2424 130.642 55.7198 0.00385025 0.422567
8000 60.2424 130.655 55.7198 0.00395025 0.413052
8200 60.2424 130.668 55.7198 0.00405025 0.43989
8400 60.2424 130.681 55.7198 0.00415025 0.42869
8600 60.2424 130.694 55.7198 0.00425025 0.454946
8800 60.2424 130.707 55.7198 0.00435025 0.500341
9000 60.2424 130.72 55.7198 0.00445025 0.451237
9200 60.2424 130.733 55.7198 0.00455025 0.483683
9400 60.2424 130.746 55.7198 0.00465025 0.515298
9600 60.2424 130.759 55.7198 0.00475025 0.504712
9800 60.2424 130.772 55.7198 0.00485025 0.534831
10000 60.2424 130.785 55.7198 0.00495025 0.526711
10200 60.2424 130.798 55.7198 0.00505025 0.538296
10400 60.2424 130.811 55.7198 0.00515025 0.553269
10600 60.2424 130.824 55.7198 0.00525025 0.56884
10800 60.2424 130.837 55.7198 0.00535025 0.56754
11000 60.2424 130.85 55.7198 0.00545025 0.598934
11200 60.2424 130.863 55.7198 0.00555025 0.591081
11400 60.2424 130.876 55.7198 0.00565025 0.603907
11600 60.2424 130.889 55.7198 0.00575025 0.618484
11800 60.2424 130.902 55.7198 0.00585025 0.645128
12000 60.2424 130.915 55.7198 0.00595025 0.622886
12200 60.2424 130.928 55.7198 0.00605025 0.660633
12400 60.2424 130.941 55.7198 0.00615025 0.67316
12600 60.2424 130.954 55.7198 0.00625025 0.658053
12800 60.2424 130.967 55.7198 0.00635025 0.688007
13000 60.2424 130.98 55.7198 0.00645025 0.697852
13200 60.2424 130.993 55.7198 0.00655025 0.682316
13400 60.2424 131.006 55.7198 0.00665025 0.745391
13600 60.2424 131.019 55.7198 0.00675025 0.724032
13800 60.2424 131.032 55.7198 0.00685025 0.710058
14000 60.2424 131.045 55.7198 0.00695025 0.777896
14200 60.2424 131.058 55.7198 0.00705025 0.769603
14400 60.2424 131.071 55.7198 0.00715025 0.744065
14600 60.2424 131.084 55.7198 0.00725025 0.7971
14800 60.2424 131.097 55.7198 0.00735025 0.77286
15000 60.2424 131.11 55.7198 0.00745025 0.804051
15200 60.2424 131.123 55.7198 0.00755025 0.82488
15400 60.2424 131.136 55.7198 0.00765025 0.806433
15600 60.2424 131.149 55.7198 0.00775025 0.858334
15800 60.2424 131.162 55.7198 0.00785025 0.818886
16000 60.2424 131.175 55.7198 0.00795025 0.870916
16200 60.2424 131.188 55.7198 0.00805025 0.86252
16400 60.2424 131.201 55.7198 0.00815025 0.900379
16600 60.2424 131.214 55.7198 0.00825025 0.882825
16800 60.2424 131.227 55.7198 0.00835025 0.902207
17000 60.2424 131.24 55.7198 0.00845025 0.912558
17200 60.2424 131.253 55.7198 0.00855025 0.911228
17400 60.2424 131.266 55.7198 0.00865025 0.946197
17600 60.2424 131.279 55.7198 0.00875025 0.941421
17800 60.2424 131.292 55.7198 0.00885025 0.943642
18000 60.2424 131.305 55.7198 0.00895025 0.974417
18200 60.2424 131.318 55.7198 0.00905025 0.988381
18400 60.2424 131.331 55.7198 0.00915025 0.996304
18600 60.2424 131.344 55.7198 0.00925025 0.991187
18800 60.2424 131.357 55.7198 0.00935025 1.01661
19000 60.2424 131.37 55.7198 0.00945025 1.04096
19200 60.2424 131.383 55.7198 0.00955025 1.03043
19400 60.2424 131.396 55.7198 0.00965025 1.03716
19600 60.2424 131.409 55.7198 0.00975025 1.07436
19800 60.2424 131.422 55.7198 0.00985025 1.05588
20000 60.2424 131.435 55.7198 0.00995025 1.10005
20200 60.2424 131.448 55.7198 0.0100503 1.06271
20400 60.2424 131.461 55.7198 0.0101503 1.11448
20600 60.2424 131.474 55.7198 0.0102503 1.09777
20800 60.2424 131.487 55.7198 0.0103503 1.12704
21000 60.2424 131.5 55.7198 0.0104503 1.15276
21200 60.2424 131.514 55.7198 0.0105503 1.14336
21400 60.2424 131.527 55.7198 0.0106503 1.14761
21600 60.2424 131.54 55.7198 0.0107503 1.17455
21800 60.2424 131.553 55.7198 0.0108503 1.15214
22000 60.2424 131.566 55.7198 0.0109503 1.2108
22200 60.2424 131.579 55.7198 0.0110503 1.19276
22400 60.2424 131.592 55.7198 0.0111503 1.22252
22600 60.2424 131.605 55.7198 0.0112503 1.22002
22800 60.2424 131.618 55.7198 0.0113503 1.21259
23000 60.2424 131.631 55.7198 0.0114503 1.2638
23200 60.2424 131.644 55.7198 0.0115503 1.23329
23400 60.2424 131.657 55.7198 0.0116503 1.28669
23600 60.2424 131.67 55.7198 0.0117503 1.26024
23800 60.2424 131.683 55.7198 0.0118503 1.27673
24000 60.2424 131.696 55.7198 0.0119503 1.29708
24200 60.2424 131.709 55.7198 0.0120503 1.32365
24400 60.2424 131.722 55.7198 0.0121503 1.3337
24600 60.2424 131.735 55.7198 0.0122503 1.32072
24800 60.2424 131.748 55.7198 0.0123503 1.34663
25000 60.2424 131.761 55.7198 0.0124503 1.36031
25200 60.2424 131.774 55.7198 0.0125503 1.35692
25400 60.2424 131.787 55.7198 0.0126503 1.36836
25600 60.2424 131.8 55.7198 0.0127503 1.40497
25800 60.2424 131.813 55.7198 0.0128503 1.3976
26000 60.2424 131.826 55.7198 0.0129503 1.4198
26200 60.2424 131.839 55.7198 0.0130503 1.43161
26400 60.2424 131.852 55.7198 0.0131503 1.41321
26600 60.2424 131.865 55.7198 0.0132503 1.45746
26800 60.2424 131.878 55.7198 0.0133503 1.45058
27000 60.2424 131.891 55.7198 0.0134503 1.46693
27200 60.2424 131.904 55.7198 0.0135503 1.46587
27400 60.2424 131.917 55.7198 0.0136503 1.48668
27600 60.2424 131.93 55.7198 0.0137503 1.51355
27800 60.2424 131.943 55.7198 0.0138503 1.49654
28000 60.2424 131.956 55.7198 0.0139503 1.51847
28200 60.2424 131.969 55.7198 0.0140503 1.54815
28400 60.2424 131.982 55.7198 0.0141503 1.5551
28600 60.2424 131.995 55.7198 0.0142503 1.5441
28800 60.2424 132.008 55.7198 0.0143503 1.55227
29000 60.2424 132.021 55.7198 0.0144503 1.58996
