# Time-averaged data for fix Re_Primary
Step Lx Ly Lz StrainY StressYY
200 60.0864 130.78 55.755 5.025e-05 0.0170692
400 60.0864 130.794 55.755 0.00015025 0.013417
600 60.0864 130.807 55.755 0.00025025 0.0388856
800 60.0864 130.82 55.755 0.00035025 0.046578
1000 60.0864 130.833 55.755 0.00045025 0.0544695
1200 60.0864 130.846 55.755 0.00055025 0.0762621
1400 60.0864 130.859 55.755 0.00065025 0.0868117
1600 60.0864 130.872 55.755 0.00075025 0.0883735
1800 60.0864 130.885 55.755 0.00085025 0.121187
2000 60.0864 130.898 55.755 0.00095025 0.118113
2200 60.0864 130.911 55.755 0.00105025 0.128224
2400 60.0864 130.924 55.755 0.00115025 0.1269
2600 60.0864 130.937 55.755 0.00125025 0.154614
2800 60.0864 130.95 55.755 0.00135025 0.135532
3000 60.0864 130.964 55.755 0.00145025 0.177905
3200 60.0864 130.977 55.755 0.00155025 0.154591
3400 60.0864 130.99 55.755 0.00165025 0.207042
3600 60.0864 131.003 55.755 0.00175025 0.188679
3800 60.0864 131.016 55.755 0.00185025 0.191286
4000 60.0864 131.029 55.755 0.00195025 0.202012
4200 60.0864 131.042 55.755 0.00205025 0.22713
4400 60.0864 131.055 55.755 0.00215025 0.222423
4600 60.0864 131.068 55.755 0.00225025 0.260383
4800 60.0864 131.081 55.755 0.00235025 0.25883
5000 60.0864 131.094 55.755 0.00245025 0.258022
5200 60.0864 131.107 55.755 0.00255025 0.264254
5400 60.0864 131.12 55.755 0.00265025 0.325296
5600 60.0864 131.134 55.755 0.00275025 0.271487
5800 60.0864 131.147 55.755 0.00285025 0.320607
6000 60.0864 131.16 55.755 0.00295025 0.317791
6200 60.0864 131.173 55.755 0.00305025 0.332059
6400 60.0864 131.186 55.755 0.00315025 0.335851
6600 60.0864 131.199 55.755 0.00325025 0.35363
6800 60.0864 131.212 55.755 0.00335025 0.381734
7000 60.0864 131.225 55.755 0.00345025 0.347158
7200 60.0864 131.238 55.755 0.00355025 0.386477
7400 60.0864 131.251 55.755 0.00365025 0.410644
7600 60.0864 131.264 55.755 0.00375025 0.406492
7800 60.0864 131.277 55.755 0.00385025 0.391864
8000 60.0864 131.291 55.755 0.00395025 0.433138
8200 60.0864 131.304 55.755 0.00405025 0.429215
8400 60.0864 131.317 55.755 0.00415025 0.44643
8600 60.0864 131.33 55.755 0.00425025 0.452943
8800 60.0864 131.343 55.755 0.00435025 0.481389
9000 60.0864 131.356 55.755 0.00445025 0.467398
9200 60.0864 131.369 55.755 0.00455025 0.495406
9400 60.0864 131.382 55.755 0.00465025 0.480969
9600 60.0864 131.395 55.755 0.00475025 0.508508
9800 60.0864 131.408 55.755 0.00485025 0.526261
10000 60.0864 131.421 55.755 0.00495025 0.507179
10200 60.0864 131.434 55.755 0.00505025 0.54701
10400 60.0864 131.447 55.755 0.00515025 0.544547
10600 60.0864 131.461 55.755 0.00525025 0.558912
10800 60.0864 131.474 55.755 0.00535025 0.578326
11000 60.0864 131.487 55.755 0.00545025 0.57416
11200 60.0864 131.5 55.755 0.00555025 0.595246
11400 60.0864 131.513 55.755 0.00565025 0.59313
11600 60.0864 131.526 55.755 0.00575025 0.593849
11800 60.0864 131.539 55.755 0.00585025 0.648264
12000 60.0864 131.552 55.755 0.00595025 0.632321
12200 60.0864 131.565 55.755 0.00605025 0.636687
12400 60.0864 131.578 55.755 0.00615025 0.671072
12600 60.0864 131.591 55.755 0.00625025 0.64199
12800 60.0864 131.604 55.755 0.00635025 0.675284
13000 60.0864 131.617 55.755 0.00645025 0.6815
13200 60.0864 131.631 55.755 0.00655025 0.693121
13400 60.0864 131.644 55.755 0.00665025 0.69916
13600 60.0864 131.657 55.755 0.00675025 0.734235
13800 60.0864 131.67 55.755 0.00685025 0.700032
14000 60.0864 131.683 55.755 0.00695025 0.728796
14200 60.0864 131.696 55.755 0.00705025 0.761364
14400 60.0864 131.709 55.755 0.00715025 0.752521
14600 60.0864 131.722 55.755 0.00725025 0.773005
14800 60.0864 131.735 55.755 0.00735025 0.794786
15000 60.0864 131.748 55.755 0.00745025 0.783256
15200 60.0864 131.761 55.755 0.00755025 0.81872
15400 60.0864 131.774 55.755 0.00765025 0.790277
15600 60.0864 131.787 55.755 0.00775025 0.84239
15800 60.0864 131.801 55.755 0.00785025 0.844685
16000 60.0864 131.814 55.755 0.00795025 0.834611
16200 60.0864 131.827 55.755 0.00805025 0.861648
16400 60.0864 131.84 55.755 0.00815025 0.857959
16600 60.0864 131.853 55.755 0.00825025 0.884801
16800 60.0864 131.866 55.755 0.00835025 0.894322
17000 60.0864 131.879 55.755 0.00845025 0.900248
17200 60.0864 131.892 55.755 0.00855025 0.910088
17400 60.0864 131.905 55.755 0.00865025 0.930484
17600 60.0864 131.918 55.755 0.00875025 0.925954
17800 60.0864 131.931 55.755 0.00885025 0.947593
18000 60.0864 131.944 55.755 0.00895025 0.95542
18200 60.0864 131.957 55.755 0.00905025 0.976438
18400 60.0864 131.971 55.755 0.00915025 0.960476
18600 60.0864 131.984 55.755 0.00925025 0.998788
18800 60.0864 131.997 55.755 0.00935025 1.00623
19000 60.0864 132.01 55.755 0.00945025 1.01831
19200 60.0864 132.023 55.755 0.00955025 1.02036
19400 60.0864 132.036 55.755 0.00965025 1.03528
19600 60.0864 132.049 55.755 0.00975025 1.0549
19800 60.0864 132.062 55.755 0.00985025 1.06435
20000 60.0864 132.075 55.755 0.00995025 1.06519
20200 60.0864 132.088 55.755 0.0100503 1.08163
20400 60.0864 132.101 55.755 0.0101503 1.08583
20600 60.0864 132.114 55.755 0.0102503 1.12044
20800 60.0864 132.127 55.755 0.0103503 1.10155
21000 60.0864 132.141 55.755 0.0104503 1.11548
21200 60.0864 132.154 55.755 0.0105503 1.1564
21400 60.0864 132.167 55.755 0.0106503 1.12265
21600 60.0864 132.18 55.755 0.0107503 1.16242
21800 60.0864 132.193 55.755 0.0108503 1.191
22000 60.0864 132.206 55.755 0.0109503 1.18605
22200 60.0864 132.219 55.755 0.0110503 1.1621
22400 60.0864 132.232 55.755 0.0111503 1.20315
22600 60.0864 132.245 55.755 0.0112503 1.21696
22800 60.0864 132.258 55.755 0.0113503 1.21153
23000 60.0864 132.271 55.755 0.0114503 1.2473
23200 60.0864 132.284 55.755 0.0115503 1.20552
23400 60.0864 132.297 55.755 0.0116503 1.28016
23600 60.0864 132.311 55.755 0.0117503 1.27379
23800 60.0864 132.324 55.755 0.0118503 1.25114
24000 60.0864 132.337 55.755 0.0119503 1.29617
24200 60.0864 132.35 55.755 0.0120503 1.29762
24400 60.0864 132.363 55.755 0.0121503 1.31293
24600 60.0864 132.376 55.755 0.0122503 1.32515
24800 60.0864 132.389 55.755 0.0123503 1.3158
25000 60.0864 132.402 55.755 0.0124503 1.33084
25200 60.0864 132.415 55.755 0.0125503 1.36712
25400 60.0864 132.428 55.755 0.0126503 1.34218
